Artist,Certified Units (Millions)
2 Pac,36.5
3 Doors Down,12
50 Cent,11.5
Abba,10.5
Ac/Dc,72
Ace Of Base,10
Adele,28
Aerosmith,66.5
Alabama,46.5
Alan Jackson,43.5
Alanis Morissette,20.5
Alice In Chains,12.5
Alicia Keys,15.5
Amy Grant,17
Andrea Bocelli,16
Andrew Lloyd Webber,12
Andy Williams,10.5
Anita Baker,12.5
Anne Murray,14.5
Aretha Franklin,10
Avril Lavigne,13.5
Backstreet Boys,37
Bad Company,15.5
Barbra Streisand,68.5
Barry Manilow,27.5
Barry White,11
Beastie Boys,23
Bee Gees,28
Bette Midler,12
Beyonce,13
Billy Joel,82.5
Billy Ray Cyrus,10.5
Black Sabbath,15
Blake Shelton,10
Blink-182,10
Bob Dylan,36
Bob Marley & The Wailers,21.5
Bob Seger & The Silver Bullet Band,44.5
Bobby Brown,10
Bon Jovi,34.5
Bone Thugs 'N Harmony,13.5
Bonnie Raitt,17
Boston,31
Boyz Ii Men,27
Brandy,10.5
Britney Spears,34.5
Brooks & Dunn,27.5
Bruce Springsteen,65.5
Bruno Mars,11
Bryan Adams,17
Bush,10.5
Carole King,14.5
Carrie Underwood,19
Cat Stevens,15.5
Celine Dion,50
Charlie Daniels Band,13.5
Cher,12.5
Chicago,38.5
Christina Aguilera,15.5
Clint Black,12.5
Coldplay,14.5
Counting Crows,12
Creed,25
Creedence Clearwater Revival,28
"Crosby, Stills & Nash",10
"Crosby, Stills, Nash & Young",18
Dan Fogelberg,14
Dave Matthews Band,34.5
Def Leppard,35.5
Depeche Mode,10.5
Destiny'S Child,17.5
Dire Straits,15.5
Disturbed,11.5
Dixie Chicks,30.5
Dmx,14
Don Henley,11.5
Doobie Brothers,22
Drake,16.5
Duran Duran,12
Dwight Yoakam,11.5
Eagles,120
"Earth, Wind & Fire",23.5
Ed Sheeran,10
Electric Light Orchestra,10
Elton John,78
Elvis Presley,146.5
Eminem,45
Enya,26.5
Eric Clapton,40
Faith Hill,25.5
Fleetwood Mac,54.5
Foreigner,37.5
Frank Sinatra,27
Garth Brooks,148
Genesis,21.5
George Harrison,10.5
George Michael,15
George Strait,69
Gloria Estefan,13.5
Grand Funk Railroad,11
Grateful Dead,18.5
Green Day,24
Guns N' Roses,44.5
Hall & Oates,14
Hammer,16
"Hank Williams, Jr.",19.5
"Harry Connick, Jr.",16
Heart,22.5
Hootie & The Blowfish,25
Huey Lewis & The News,12
Inxs,15
Isley Brothers,15.5
Jackson Browne,18.5
James Taylor,33
Janet Jackson,26
Janis Joplin,17.5
Jason Aldean,11.5
Jay-Z,27.5
Jefferson Airplane/Starship,14
Jennifer Lopez,11
Jethro Tull,11
Jewel,18.5
Jimi Hendrix,23
Jimmy Buffett,23
John Denver,33.5
John Lennon,10.5
John Mayer,15
John Mellencamp,27.5
John Michael Montgomery,14
Johnny Cash,23.5
Johnny Mathis,16.5
Josh Groban,20.5
Journey,48
Justin Bieber,13.5
Justin Timberlake,10.5
Kansas,15.5
Kanye West,13.5
Keith Sweat,13
Keith Urban,14
Kelly Clarkson,12
Kenny Chesney,30.5
Kenny G,48
Kenny Rogers,47.5
Kid Rock,23.5
Kirk Franklin,10
Kiss,21
Korn,16.5
