Artist,Score
The Beatles,4.81
Elvis Presley,3.31
Led Zeppelin,4.5
Michael Jackson,3.65
Billy Joel,3.54
Elton John,3.24
Pink Floyd,3.53
Aerosmith,3.47
The Rolling Stones,4.11
Bruce Springsteen,4.06
Madonna,3.88
Metallica,3.95
Van Halen,3.67
Fleetwood Mac,3.5
U2,3.71
Neil Diamond,3.05
Journey,3.04
Guns N' Roses,3.67
Santana,3.28
Eric Clapton,3.38
Chicago,3.09
Rod Stewart,2.98
Bob Dylan,3.76
Bon Jovi,2.93
Queen,3.5
The Doors,3.61
James Taylor,3.5
Pearl Jam,4.05
Linda Ronstadt,3.04
Lynyrd Skynyrd,3.21
Creedence Clearwater Revival,4.14
John Mellencamp,3.28
Nirvana,4.5
Rush,3.37
Red Hot Chili Peppers,3.68
Green Day,3.82
Johnny Cash,3.29
"Earth, Wind & Fire",3.27
The Cars,3.86
Beastie Boys,4.44
Heart,3.11
The Beach Boys,3.17
The Police,4.1
Genesis,3.6
The Who,4.17
Prince,3.41
R.E.M.,3.67
Stevie Wonder,3.48
Jackson Browne,3.32
Janis Joplin,4
Neil Young,3.41
Bonnie Raitt,3.71
Dire Straits,3.5
Cat Stevens,3.36
Black Sabbath,3.5
Hall & Oates,3.42
Yes,3.1
Paul Simon,4
The Temptations,3.64
Steely Dan,4.28
George Harrison,3.5
John Lennon,3.23
The Moody Blues,3.22
Electric Light Orchestra,3.38
Peter Gabriel,3.77
Aretha Franklin,3.14
Van Morrison,3.71
Deep Purple,3.45
AC/DC,3.69
Curtis Mayfield,3.22
Blondie,3.4
Cheap Trick,3.425
Tom Waits,3.91
Buddy Holly,4.17
Cream,3.875
Otis Redding,4.25
The Yardbirds,3.58
Talking Heads,4.19
The Band,3.45
Ray Charles,3.22
Frank Zappa,3.71
Leonard Cohen,4.04
Bob Marley,4.35
Sam Cooke,3.5
Muddy Waters,3.46
N.W.A,4.5
Marvin Gaye,3.62
Chuck Berry,3.53
Sex Pistols,5
Joni Mitchell,3.61
Ramones,3.46
The Clash,3.75
The Stooges,4.3
James Brown,2.92
Miles Davis,4.02
The Byrds,3.88
The Kinks,3.29
The Velvet Underground,4.3
David Bowie,3.56
Nina Simone,3.36
2Pac,3.5
Joan Baez,3.54
Steve Miller,3.28
Bill Withers,3.61
Joan Jett and the Blackhearts,3.29
Lou Reed,3.43
The Paul Butterfield Blues Band,4
Stevie Ray Vaughan & Double Trouble,4.2
KISS,3.13
Albert King,3.07
Donna Summer,3.13
Public Enemy,3.85
Randy Newman,4.14
Donovan,3.17
Laura Nyro,3.75
The Small Faces/The Faces,4.25
Alice Cooper,3.43
Darlene Love,3.58
Dr. John,3.54
ABBA,3.69
The Hollies,3.1
Jimmy Cliff,3.2
Bobby Womack,3.32
Jeff Beck,3.59
Little Anthony & the Imperials,3.11
Run DMC,3.79
The Dave Clark Five,2.88
The Ventures,3.02
Grandmaster Flash & the Furious Five,2.75
Patti Smith,3.71
The Ronettes,3.5
Buddy Guy,3.38
The O'Jays,3.14
Percy Sledge,3.71
The Pretenders,3.75
Bob Seger,3.68
The Dells,3.19
Traffic,3.69
ZZ Top,3.13
Elvis Costello & the Attractions,3.85
Righteous Brothers,3.25
Brenda Lee,3.33
Gene Pitney,2.98
Isaac Hayes,3.17
Tom Petty & the Heartbreakers,3.59
The Flamingos,3.5
Ritchie Valens,3.33
Solomon Burke,3.38
Lovin' Spoonful,3.5
The Moonglows,3.67
Del Shannon,3.44
Dusty Springfield,3.58
Paul McCartney,3.52
The Staple Singers,3.69
The Eagles,3.5
Gene Vincent,3.38
Lloyd Price,3.22
The Mamas and the Papas,3.5
The Bee Gees,3.38
Buffalo Springfield,4
"Crosby, Stills and Nash",3.13
The Jackson Five,3.38
Parliament-Funkadelic,4.07
The (Young) Rascals,3.56
Gladys Knight and the Pips,3.12
Jefferson Airplane,3.6
Little Willie John,3.28
The Shirelles,3.18
Al Green,3.41
The Allman Brothers Band,3.77
Martha and the Vandellas,3.25
The Animals,3.22
Duane Eddy,2.79
The Grateful Dead,3.62
Etta James,3.36
Frankie Lymon and the Teenagers,3.25
Ruth Brown,3.27
Sly and the Family Stone,3.29
"Bobby ""Blue"" Bland",3.08
Booker T. and the M.G.'s,3.33
The Isley Brothers,3.52
The Jimi Hendrix Experience,4.58
Sam & Dave,3.7
Ike and Tina Turner,2.81
The Impressions,3.4
Jimmy Reed,3.67
John Lee Hooker,3.49
LaVern Baker,3.57
Wilson Pickett,3.18
Bobby Darin,2.98
The Four Seasons,3.18
The Four Tops,3
Hank Ballard,3.06
The Platters,3
Simon and Garfunkel,4.2
Dion,3.19
The Drifters,3.1
The Supremes,3.34
B. B. King,3.23
Big Joe Turner,3.33
Bill Haley,2.94
Bo Diddley,3.19
Carl Perkins,3.44
Clyde McPhatter,3.29
The Coasters,3.3
Eddie Cochran,3.29
Jackie Wilson,3.39
Ricky Nelson,3.02
Roy Orbison,3.24
Smokey Robinson,3.1
The Everly Brothers,3.29
Fats Domino,3.25
Jerry Lee Lewis,3.39
Little Richard,3.5
Def Leppard,3.68
Devo,3.06
Janet Jackson,3.23
John Prine,3.58
Kraftwerk,4.05
LL Cool J,3.23
MC5,4.5
Radiohead,4.17
Rage Against the Machine,4.13
Roxy Music,4.17
Rufus featuring Chaka Khan,3.38
Stevie Nicks,3.57
The Cure,3.31
The Zombies,3.9
Todd Rundgren,3.25
Afrika Bambaataa,3.25
Alice In Chains,3.75
Bad Brains,3.33
Bad Company,2.77
Barry White,3.3
Bauhaus,3.6
Ben E. King,3.06
Big Mama Thornton,3.5
Big Star,4.2
Billy Ward and his Dominoes,3.81
Bjork,3.9
Black Flag,3.29
Boston,3.17
Brian Eno,3.81
Can,3.5
Captain Beefheart,3.96
Carly Simon,3.12
Carole King,2.85
Chaka Khan,3.46
Cher,2.86
Chic,3.25
Chubby Checker,3.15
Chuck Willis,4
Connie Francis,3.35
Conway Twitty,2.88
De La Soul,3.69
Depeche Mode,3.93
Dick Dale,3.3
Duran Duran,2.79
"Emerson, Lake & Palmer",3.18
Eric B. & Rakim,4.25
Esther Phillips,3.15
Eurythmics,3.22
Faith No More,3.93
Foreigner,3.33
Fugazi,4.1
George Michael,3.44
Gram Parsons,4.58
Guitar Slim,3.57
Harry Nilsson,3.66
Husker Du,4.58
Ice Cube,3.56
Ice-T,3.25
INXS,2.91
Iron Maiden,3.59
Jan & Dean,2.72
Jane's Addiction,3.8
Jethro Tull,2.98
Jim Croce,3
Joe Cocker,2.96
Joe Tex,3.36
John Coltrane,4.25
Johnny Ace,4.38
Johnny Burnette,3.36
Joy Division,3.8
Judas Priest,3.45
Junior Walker & the All-Stars,3.19
Kansas,3.07
Kate Bush,3.65
King Crimson,3.79
Link Wray,3.25
Los Lobos,3.68
Love,3.67
Mary Wells,3.11
Massive Attack,4
Megadeth,3.31
Motley Crue,3.44
Motorhead,3.38
My Bloody Valentine,3.88
New Order,3.89
New York Dolls,4.38
Nick Cave,4
Nick Drake,4.5
Nine Inch Nails,3.79
Ozzy Osbourne,3.59
Pantera,3.28
Pat Benatar,3.09
Peter Frampton,3.03
Peter Tosh,3.5
"Peter, Paul & Mary",3.2
Phil Collins,3.69
Phish,3.58
Pixies,4.14
Procol Harum,3.5
Rick James,3.33
Salt-N-Pepa,3.4
Scorpions,3.38
Scott Walker,3.38
Screamin' Jay Hawkins,2.8
Silver Apples,3.34
Siouxsie & the Banshees,3.73
Slayer,3.43
Smashing Pumpkins,3.78
Sonic Youth,3.68
Soundgarden,3.63
Sparks,3.54
Steppenwolf,2.82
Steve Winwood,3.5
Sting,3.54
Stone Roses,4
Styx,3.06
Suicide,3.4
T. Rex,3.73
Television,4.25
The B-52's,3.71
The Buzzcocks,3.5
The Carpenters,3.23
The Chantels,3.1
The Clovers,3.75
The Commodores,3.11
The Dead Kennedys,3.8
The Doobie Brothers,3.32
The Flaming Lips,3.79
The Go-Gos,3.25
The Guess Who,2.59
The J. Geils Band,3.71
The J.B.'s,3.53
The Jam,4.25
The Jesus and Mary Chain,3.79
The Marvelettes,3
The Meters,3.38
The Monkees,3.54
The Replacements,4.29
The Runaways,3.4
The Shangri-Las,3.5
The Sir Douglas Quintet,3.88
The Smiths,4.25
The Specials,3.25
The Spinners,3.06
Thin Lizzy,3.69
Three Dog Night,3.43
Tina Turner,3
Tommy James & the Shondells,3.43
Toots & the Maytals,3.64
Toto,2.88
War,2.84
Warren Zevon,3.61
Whitney Houston,3.34
Willie Nelson,3.37
X,4.21
XTC,3.83
Stone Temple Pilots,3.63
Weird Al Yankovic,3.25
A Tribe Called Quest,4.25
Pavement,4.5
