artistname,artists influenced
The Beatles,1230
Bob Dylan,669
The Rolling Stones,557
David Bowie,432
The Velvet Underground,425
The Beach Boys,422
The Kinks,384
Neil Young,374
Jimi Hendrix,371
The Byrds,360
Led Zeppelin,355
Miles Davis,342
Brian Eno,327
Kraftwerk,323
John Coltrane,315
James Brown,299
The Stooges,285
Sonic Youth,282
Pink Floyd,281
The Who,278
Black Sabbath,276
Hank Williams,275
Elvis Presley,273
The Clash,273
Ramones,258
My Bloody Valentine,253
Joni Mitchell,252
Stevie Wonder,246
Sex Pistols,239
Chuck Berry,228
Prince,228
Marvin Gaye,224
Charlie Parker,215
Duke Ellington,208
Nirvana,204
N.W.A,203
Muddy Waters,200
Johnny Cash,194
The Cure,193
The Smiths,193
Can,192
Nick Drake,190
Big Star,189
R.E.M.,188
Joy Division,187
Louis Armstrong,183
New Order,182
Metallica,180
Pixies,179
Sam Cooke,178
Billie Holiday,177
Michael Jackson,176
Bob Marley,165
Leonard Cohen,164
Radiohead,163
Black Flag,161
Frank Zappa,161
MC5,160
Roxy Music,160
U2,155
Elvis Costello,153
Ray Charles,153
Ornette Coleman,151
T. Rex,149
John Cage,148
Madonna,145
The Band,145
Merle Haggard,143
Talking Heads,142
The Yardbirds,142
Aretha Franklin,140
Otis Redding,140
Buddy Holly,139
Cream,139
Parliament,139
The Replacements,137
Howlin' Wolf,136
Slayer,134
Tom Waits,134
Woody Guthrie,134
Bruce Springsteen,132
Buzzcocks,132
Cheap Trick,131
Ella Fitzgerald,131
Gram Parsons,131
Sly & the Family Stone,130
Blondie,129
Funkadelic,129
Kiss,128
Captain Beefheart,127
Run-D.M.C.,126
Wire,125
Cocteau Twins,124
Bjork,123
The Carter Family,122
AC/DC,121
B.B. King,121
Curtis Mayfield,121
Deep Purple,120
Depeche Mode,120
