artistname,artists influenced
2Pac,39
A Tribe Called Quest,26
ABBA,19
AC/DC,121
Aerosmith,24
Afrika Bambaataa,15
Al Green,20
Albert King,11
Alice Cooper,20
Alice In Chains,19
Aretha Franklin,140
B.B. King,121
Bad Brains,18
Bad Company,15
Barry White,13
Bauhaus,22
Beastie Boys,51
Ben E. King,13
Big Joe Turner,15
Big Mama Thornton,7
Big Star,189
Bill Haley,14
Bill Withers,24
Billie Holiday,177
Billy Joel,16
Billy Ward and his Dominoes,0
Bjork,123
Black Flag,161
Black Sabbath,276
Blondie,129
Bo Diddley,17
Bob Dylan,669
Bob Marley,165
Bob Seger,13
"Bobby ""Blue"" Bland",11
Bobby Darin,14
Bobby Womack,19
Bon Jovi,15
Bonnie Raitt,19
Booker T. and the M.G.'s,14
Boston,13
Brenda Lee,11
Brian Eno,327
Bruce Springsteen,132
Buddy Guy,18
Buddy Holly,139
Buffalo Springfield,16
Buzzcocks,132
Can,192
Captain Beefheart,127
Carl Perkins,14
Carly Simon,14
Carole King,23
Cat Stevens,21
Chaka Khan,25
Charlie Parker,215
Cheap Trick,131
Cher,7
Chic,25
Chicago,14
Chubby Checker,8
Chuck Berry,228
Chuck Willis,0
Clyde McPhatter,14
Cocteau Twins,124
Connie Francis,4
Conway Twitty,19
Cream,139
Creedence Clearwater Revival,19
"Crosby, Stills and Nash",42
Curtis Mayfield,121
Darlene Love,0
David Bowie,432
De La Soul,26
Deep Purple,120
Def Leppard,20
Sly & the Family Stone,8
Depeche Mode,120
Devo,26
Dick Dale,15
Dion,13
Dire Straits,19
Donna Summer,20
Donovan,17
Dr. John,18
Duane Eddy,9
Duke Ellington,208
Duran Duran,22
Dusty Springfield,24
"Earth, Wind & Fire",21
Eddie Cochran,15
Electric Light Orchestra,14
Ella Fitzgerald,131
Elton John,22
Elvis Costello & the Attractions,153
Elvis Presley,273
"Emerson, Lake & Palmer",15
Eric B. & Rakim,17
Eric Clapton,20
Esther Phillips,3
Etta James,21
Eurythmics,16
Faith No More,23
Fats Domino,18
Fleetwood Mac,37
Foreigner,10
Frank Zappa,161
Frankie Lymon and the Teenagers,0
Fugazi,60
Gene Pitney,12
Gene Vincent,15
Genesis,17
George Harrison,17
George Michael,19
Gladys Knight and the Pips,15
Gram Parsons,131
Grandmaster Flash & the Furious Five,7
Green Day,28
Guitar Slim,0
Guns N' Roses,26
Hall & Oates,17
Hank Ballard,7
Hank Williams,275
Harry Nilsson,21
Heart,12
Howlin' Wolf,136
Husker Du,45
Ice Cube,14
Ice-T,13
Ike and Tina Turner,15
INXS,15
Iron Maiden,42
Isaac Hayes,15
Jackie Wilson,16
Jackson Browne,14
James Brown,299
James Taylor,24
Jan & Dean,7
Jane's Addiction,21
Janet Jackson,26
Janis Joplin,18
Jeff Beck,17
Jefferson Airplane,18
Jerry Lee Lewis,20
Jethro Tull,15
Jim Croce,5
Jimmy Cliff,13
Jimmy Reed,15
Joan Baez,16
Joan Jett and the Blackhearts,22
Joe Cocker,7
Joe Tex,6
John Cage,148
John Coltrane,315
John Lee Hooker,19
John Lennon,20
John Mellencamp,12
John Prine,21
Johnny Ace,6
Johnny Burnette,0
Johnny Cash,194
Joni Mitchell,252
Journey,14
Joy Division,187
Judas Priest,48
Junior Walker & the All-Stars,9
Kansas,10
Kate Bush,23
King Crimson,59
KISS,128
Kraftwerk,323
Laura Nyro,14
LaVern Baker,9
Led Zeppelin,355
Leonard Cohen,164
Linda Ronstadt,15
Link Wray,14
Little Anthony & the Imperials,6
Little Richard,19
Little Willie John,11
LL Cool J,14
Lloyd Price,0
Los Lobos,7
Lou Reed,26
Louis Armstrong,183
Love,16
