Artist,Year Inducted,Years Waited,# of Years Nominated,Inducted By
Bon Jovi,2018,9,2,Howard Stern
The Cars,2018,14,3,Brandon Flowers
Dire Straits,2018,14,1,(self-inducted)
The Moody Blues,2018,28,1,Ann Wilson
Nina Simone,2018,32,1,Mary J. Blige
Sister Rosetta Tharpe,2018,*,*,Brittany Howard
2Pac,2017,0,1,Snoop Dogg
Electric Light Orchestra,2017,20,1,Dhani Harrison
Joan Baez,2017,31,1,Jackson Browne
Journey,2017,16,1,Pat Monahan
Pearl Jam,2017,0,1,David Letterman
Yes,2017,22,3,Geddy Lee and Alex Lifeson
Nile Rodgers,2017,*,*,Pharrell
Cheap Trick,2016,13,1,Kid Rock
Chicago,2016,21,1,Rob Thomas
Deep Purple,2016,22,3,Lars Ulrich
N.W.A,2016,3,4,Kendrick Lamar
Steve Miller,2016,22,1,The Black Keys
Bert Berns,2016,*,*,Stevie Van Zandt
Bill Withers,2015,18,1,Stevie Wonder
Green Day,2015,0,1,Fall Out Boy
Joan Jett and the Blackhearts,2015,9,3,Miley Cyrus
Lou Reed,2015,17,3,Patti Smith
The Paul Butterfield Blues Band,2015,26,4,Peter Wolf
Stevie Ray Vaughan & Double Trouble,2015,6,1,John Mayer
Ringo Starr,2015,*,*,Paul McCartney
"The ""5"" Royales",2015,*,*,Steve Cropper
Cat Stevens,2014,22,2,Art Garfunkel
Hall & Oates,2014,16,1,Questlove
KISS,2014,14,2,Tom Morello
Linda Ronstadt,2014,19,1,Glenn Frey
Nirvana,2014,0,1,Michael Stipe
Peter Gabriel,2014,11,1,Chris Martin
Andrew Loog Oldham,2014,*,*,Peter Asher
Brian Epstein,2014,*,*,Peter Asher
The E Street Band,2014,*,*,Bruce Springsteen
Albert King,2013,25,1,John Mayer
Donna Summer,2013,13,5,Kelly Rowland
Heart,2013,11,2,Chris Cornell
Public Enemy,2013,0,1,Spike Lee and Harry Belafonte
Randy Newman,2013,22,2,Don Henley
Rush,2013,14,1,Dave Grohl and Taylor Hawkins
Lou Adler,2013,*,*,Cheech and Chong
Quincy Jones,2013,*,*,Oprah Winfrey
The Blue Caps,2012,*,*,Smokey Robinson
The Comets,2012,*,*,Smokey Robinson
The Crickets,2012,*,*,Smokey Robinson
The Famous Flames,2012,*,*,Smokey Robinson
The Midnighters,2012,*,*,Smokey Robinson
The Miracles,2012,*,*,Smokey Robinson
Beastie Boys,2012,4,3,Chuck D & LL Cool J
Donovan,2012,21,2,John Mellencamp
Guns N' Roses,2012,0,1,Green Day
Laura Nyro,2012,19,3,Bette Midler
Red Hot Chili Peppers,2012,2,2,Chris Rock
The Small Faces/The Faces,2012,20,1,Stevie Van Zandt
Don Kirshner,2012,*,*,Carole King
Cosimo Matassa,2012,*,*,Robbie Robertson
Glyn Johns,2012,*,*,Robbie Robertson
Tom Dowd,2012,*,*,Robbie Robertson
Freddie King,2012,*,*,Billy Gibbons and Dusty Hill
Alice Cooper,2011,16,1,Rob Zombie
Darlene Love,2011,22,3,Bette Midler
Dr. John,2011,17,1,John Legend
Neil Diamond,2011,22,1,Paul Simon
Tom Waits,2011,12,1,Neil Young
Art Rupe,2011,*,*,Lloyd Price
Jac Holzman,2011,*,*,John Densmore
Leon Russell,2011,*,*,Elton John
ABBA,2010,11,2,Barry and Robin Gibb
Genesis,2010,16,1,Trey Anastasio
The Hollies,2010,20,1,Steven Van Zandt
Jimmy Cliff,2010,17,1,Wyclef Jean
The Stooges,2010,15,8,Billie Joe Armstrong
Barry Mann & Cynthia Weil,2010,*,*,Carole King
David Geffen,2010,*,*,Jackson Browne
Ellie Greenwich & Jeff Barry,2010,*,*,Carole King
Jesse Stone,2010,*,*,Carole King
Mort Shuman,2010,*,*,Carole King
Otis Blackwell,2010,*,*,Carole King
Bill Black,2009,*,*,Garry Tallent
D.J. Fontana,2009,*,*,Max Weinberg
Spooner Oldham,2009,*,*,Paul Shaffer
Bobby Womack,2009,16,1,Ron Wood
Jeff Beck,2009,16,1,Jimmy Page
Little Anthony & the Imperials,2009,23,1,Smokey Robinson
Metallica,2009,1,1,Flea
Run DMC,2009,0,1,Eminem
Wanda Jackson,2009,*,*,Rosanne Cash
Little Walter,2008,*,*,Ben Harper
The Dave Clark Five,2008,20,3,Tom Hanks
John Mellencamp,2008,6,3,Billy Joel
Leonard Cohen,2008,15,1,Lou Reed
Madonna,2008,0,1,Justin Timberlake
The Ventures,2008,22,1,John Fogerty
Kenny Gamble and Leon Huff,2008,*,*,Jerry Butler
Grandmaster Flash & the Furious Five,2007,2,3,Jay-Z
Patti Smith,2007,6,7,Zack de la Rocha
R.E.M.,2007,0,1,Eddie Vedder
The Ronettes,2007,18,1,Keith Richards
Van Halen,2007,3,1,Velvet Revolver
Black Sabbath,2006,10,8,Lars Ulrich and James Hetfield
Blondie,2006,4,1,Shirley Manson
Lynyrd Skynyrd,2006,9,7,Kid Rock
Miles Davis,2006,20,1,Herbie Hancock
Sex Pistols,2006,4,5,Jann Wenner
Herb Alpert and Jerry Moss,2006,*,*,Sting
