Artist,Times on Cover of RS
The Rolling Stones,40
Bob Dylan,24
Bruce Springsteen,24
U2,22
Madonna,19
The Beatles,16
Jimi Hendrix,15
The Grateful Dead,14
John Lennon,14
The Who,12
Led Zeppelin,12
Eric Clapton,11
Paul McCartney,11
Red Hot Chili Peppers,10
James Taylor,9
David Bowie,9
R.E.M.,8
Prince,8
Metallica,8
Tina Turner,7
Guns N' Roses,7
Elvis Presley,7
Nirvana,7
"Crosby, Stills and Nash",6
Michael Jackson,6
Sting,6
Janis Joplin,6
Jackson Browne,6
The Doors,6
Pearl Jam,6
Tom Petty,6
Aerosmith,6
Van Halen,6
Green Day,6
Jefferson Airplane,5
Carly Simon,5
Linda Ronstadt,5
Rod Stewart,5
Neil Young,5
Elton John,5
George Harrison,5
Radiohead,5
Fleetwood Mac,4
Billy Joel,4
Ozzy Osbourne,4
Joni Mitchell,4
Bonnie Raitt,4
Santana,4
Chuck Berry,4
Pink Floyd,4
Aretha Franklin,4
Marvin Gaye,3
Peter Frampton,3
The Bee Gees,3
The Cars,3
The Pretenders,3
Smashing Pumpkins,3
Nine Inch Nails,3
Rage Against the Machine,3
The Police,3
James Brown,3
Bob Marley,3
Janet Jackson,3
Jeff Beck,3
The Eagles,3
Lou Reed,3
Beastie Boys,3
2Pac,3
The Band,2
Van Morrison,2
Alice Cooper,2
Paul Simon,2
The Allman Brothers Band,2
Steve Winwood,2
Joe Cocker,2
Little Richard,2
The Beach Boys,2
The Supremes,2
The J. Geils Band,2
Simon & Garfunkel,2
Stevie Wonder,2
Hall & Oates,2
Heart,2
The Go-Go's,2
Duran Duran,2
Phil Collins,2
Dire Straits,2
Talking Heads,2
Bon Jovi,2
Motley Crue,2
Soundgarden,2
Jane's Addiction,2
Phish,2
Frank Zappa,2
Elvis Costello and the Attractions,2
John Mellencamp,2
Ray Charles,2
Stevie Nicks,2
Whitney Houston,2
KISS,2
Donovan,1
Otis Redding,1
The Mamas and the Papas,1
Miles Davis,1
Creedence Clearwater Revival,1
Sly & the Family Stone,1
Captain Beefheart,1
The (Young) Rascals,1
Jethro Tull,1
Ike & Tina Turner,1
Cat Stevens,1
Three Dog Night,1
The Carpenters,1
Steely Dan,1
Joan Baez,1
Steve Miller,1
Neil Diamond,1
The Sex Pistols,1
Donna Summer,1
Willie Nelson,1
Patti Smith,1
Cheap Trick,1
Blondie,1
The Doobie Brothers,1
The Clash,1
Bob Seger,1
Pat Benatar,1
Warren Zevon,1
Eurythmics,1
Bad Company,1
Roxy Music,1
Sam Cooke,1
Fats Domino,1
The Everly Brothers,1
Buddy Holly,1
Jerry Lee Lewis,1
Run DMC,1
Peter Gabriel,1
George Michael,1
Roy Orbison,1
The B-52's,1
De La Soul,1
Def Leppard,1
Ice-T,1
Alice In Chains,1
Stone Temple Pilots,1
Salt-N-Pepa,1
LL Cool J,1
Johnny Cash,1
Buddy Guy,1
B.B. King,1
AC/DC,1
Rush,1
Ice Cube,1
Ramones,1
Lil Wayne,2
Lady Gaga,2
Eminem,10
Justin Bieber,3
Rihanna,2
Adele,3
Taylor Swift,2
Bruno Mars,2
Nicki Minaj,1
Kendrick Lamar,2
The Weeknd,1
Coldplay,2
Ed Sheeran,1
Cardi B,1
Beyonce,2
Justin Timberlake,5
Kanye West,2
Maroon 5,1
Jay-Z,6
Daft Punk,1
Foo Fighters,4
Backstreet Boys,3
Marilyn Manson,5
Weezer,1
Bush,1
Oasis,1
Beck,2
Blink 182,1
Counting Crows,1
Dave Matthews Band,6
Notorious B.I.G.,1
Outkast,1
Shania Twain,1
Sheryl Crow,1
Snoop Dogg,3
