Row Labels,Top 100 Singles,Highest Position
Glee Cast,208,4
Elvis Presley,158,1
The Beatles,80,1
Ray Charles,75,1
Aretha Franklin,76,1
Fats Domino,66,2
Taylor Swift,63,1
Frank Sinatra,62,1
Pat Boone,60,1
Elton John,68,1
Nat King Cole,58,2
The Rolling Stones,57,1
Stevie Wonder,63,1
Neil Diamond,55,1
Madonna,55,1
Connie Francis,56,1
The Beach Boys,55,1
James Brown,53,4
Paul Anka,52,1
Brenda Lee,52,1
The Temptations,50,1
Jackie Wilson,53,4
Dionne Warwick,49,2
Chicago,49,1
Rod Stewart,51,1
Brook Benton,47,2
Andy Williams,45,1
Perry Como,44,1
Bobby Vinton,44,1
Sam Cooke,43,1
The Four Tops,43,1
The Bee Gees,43,1
Michael Jackson,49,1
Jay-Z,57,1
Tim McGraw,41,10
Mariah Carey,41,1
Johnny Mathis,41,1
The Isley Brothers,41,2
The Four Seasons,42,1
Billy Joel,42,1
Bobby Darin,41,1
Patti Page,40,2
The Platters,40,1
Justin Bieber,41,2
Gladys Knight and the Pips,40,1
Wilson Pickett,38,6
Whitney Houston,44,1
Lil Wayne,41,1
Kenny Chesney,38,16
The Impressions,38,4
The Everly Brothers,38,1
Marvin Gaye,56,1
The Drifters,36,1
Eminem,39,1
Toby Keith,35,15
Rascal Flatts,35,6
Rihanna,38,1
James Brown & The Famous Flames,35,3
Drake,35,2
Jerry Butler,34,4
George Strait,34,23
Hall & Oates,35,1
Diana Ross,34,1
"Bobby ""Blue"" Bland",37,20
Barbra Streisand,34,1
B. B. King,35,15
Al Martino,34,3
Kool & The Gang,33,1
Johnny Cash,48,2
The Supremes,45,1
Olivia Newton-John,32,1
Mary J. Blige,32,1
Donna Summer,33,1
Glen Campbell,32,1
Chubby Checker,35,1
Cher,51,1
Bobby Vee,32,1
Brad Paisley,32,28
T.I.,31,1
Linda Ronstadt,34,1
Joe Simon,31,8
Earth, Wind & Fire,33
Chris Brown,31,1
Usher,30,1
Tony Bennett,30,9
R. Kelly,30,1
John Denver,30,1
Heart,30,1
Fifth Dimension,30,1
Britney Spears,30,1
Tom Jones,29,2
Neil Sedaka,29,1
The O'Jays,29,1
Keith Urban,29,16
Dean Martin,29,1
Aerosmith,30,1
U2,32,1
The Spinners,29,1
Roy Orbison,31,1
Miracles,28,1
Prince,49,1
Kanye West,38,1
The Carpenters,28,1
Bobby Rydell,28,2
Beyonce,30,1
Barry Manilow,28,1
Ricky Nelson,53,1
Ray Stevens,27,1
McGuire Sisters,27,1
Pointer Sisters,27,2
Johnny Rivers,27,1
Joe Tex,27,2
The Doobie Brothers,27,1
Anne Murray,27,1
Billy Vaughn,27,5
Bon Jovi,27,1
The Who,26,9
The Shirelles,26,1
Solomon Burke,26,22
KISS,26,7
Journey,26,2
Johnny Tillotson,26,2
Janet Jackson,36,1
Bruce Springsteen,28,2
Brooks & Dunn,26,25
Bobby Goldsboro,26,1
Queen,27,1
Nelly,25,1
Otis Redding,25,1
LL Cool J,26,3
Herb Alpert & The Tijuana Brass,25,7
Frankie Avalon,25,1
Fleetwood Mac,25,1
Chuck Berry,27,1
The Commodores,25,1
50 Cent,25,1
Santana,26,1
Phil Collins,27,1
Marty Robbins,24,1
Kenny Rogers,24,1
Jan & Dean,24,1
Jimmie Rodgers,24,1
Eric Clapton,24,1
Etta James,26,23
Gloria Estefan & Miami Sound Machine,24,1
David Bowie,27,1
The Dave Clark Five,24,1
The Dells,24,10
Carrie Underwood,24,1
B.J. Thomas,24,1
Alvin & The Chipmunks,24,1
Alan Jackson,24,28
Van Halen,23,1
Styx,23,1
Rick Nelson,23,5
Righteous Brothers,23,1
Kelly Clarkson,23,1
The Kinks,23,6
The Marvelettes,23,1
The Hollies,23,2
Jim Reeves,23,2
Eddie Money,23,4
Gene Pitney,23,2
Chi-Lites,23,1
Tommy Roe,22,1
R.E.M.,22,4
Roger Williams,22,1
Pink,22,1
Pitbull,22,1
Petula Clark,22,1
Engelbert Humperdinck,22,4
Foreigner,22,1
Genesis,22,1
Eddie Fisher,22,6
Brian Hyland,22,1
Bob Dylan,23,2
Ben E. King,22,4
Bill Haley,22,1
Steve Lawrence,21,1
Teresa Brewer,21,5
Three Dog Night,21,1
Shania Twain,21,2
Smokey Robinson,43,1
The Monkees,21,1
The Moody Blues,21,2
Martina McBride,21,24
Mary Wells,23,1
Ludacris,21,1
Luther Vandross,21,4
Helen Reddy,21,1
Johnnie Taylor,21,1
Huey Lewis & The News,21,1
The Guess Who,21,1
Gene Chandler,21,12
Eddy Arnold,21,6
Dion,30,1
The Eagles,21,1
Electric Light Orchestra,21,4
Duran Duran,21,1
Bryan Adams,21,1
Carly Simon,23,1
Clyde McPhatter,21,6
Alice Cooper,21,7
Steve Miller,20,1
Snoop Dogg,22,1
Rick Springfield,20,1
Ronnie Dove,20,14
Nickelback,20,1
Jr. Walker & The All Stars,20,4
Kenny Loggins,20,1
Lettermen,20,7
Katy Perry,20,1
Jennifer Lopez,20,1
Jack Jones,20,14
The Jackson Five,33,1
Hannah Montana,20,10
Donny Osmond,20,1
Dr. Hook & The Medicine Show,20,5
Creedence Clearwater Revival,20,2
Christina Aguilera,20,1
Blake Shelton,20,12
ABBA,20,1
Ames Brothers,20,5
Tommy James & the Shondells,19,1
Smokey Robinson & The Miracles,19,1
REO Speedwagon,19,1
Peter, Paul & Mary,19
Lawrence Welk,19,1
Little Anthony & the Imperials,19,4
Linkin Park,19,2
Lionel Richie,19,1
Lesley Gore,19,1
Jason Aldean,19,7
Herman's Hermits,19,1
Jack Scott,19,3
Four Aces,19,1
Dinah Washington,19,8
Def Leppard,19,1
The Coasters,19,1
Conway Twitty,20,1
Avril Lavigne,19,1
Bill Black's Combo,19,9
Al Green,20,1
Survivor,18,1
Trace Adkins,18,12
Tom Petty & the Heartbreakers,26,7
Sly and the Family Stone,19,1
Sheena Easton,18,1
Sonny & Cher,18,1
Michael Bolton,18,1
Lou Rawls,18,2
Lady Antebellum,18,2
Lady GaGa,18,1
Ike and Tina Turner,20,4
Jay & The Americans,18,3
Freddy Cannon,18,3
Duane Eddy,27,4
Dusty Springfield,19,2
Carole King,18,1
Depeche Mode,18,8
Chuck Jackson,18,23
The Cars,18,3
Bette Midler,18,1
Wings,17,1
Stylistics,17,2
ZZ Top,17,8
Trey Songz,17,6
Turtles,17,1
Simon and Garfunkel,18,1
Sarah Vaughan,17,7
Nicki Minaj,17,3
Natalie Cole,17,5
Montgomery Gentry,17,30
Miley Cyrus,17,1
Paul Revere & The Raiders,17,4
Paul McCartney,48,1
Pat Benatar,17,5
Lonestar,17,1
Kingston Trio,17,1
Lenny Kravitz,17,2
Grass Roots,17,5
James Taylor,21,1
Joe Cocker,21,5
INXS,18,1
John Mayer,17,12
Jefferson Starship,17,3
The J. Geils Band,17,1
Four Lads,17,2
Dixie Chicks,17,4
The Doors,17,1
George Harrison,17,1
Dierks Bentley,17,22
Faith Hill,17,2
Fontane Sisters,17,3
Donovan,17,1
Celine Dion,17,1
Del Shannon,17,1
America,17,1
Boyz II Men,17,1
Alan Parsons Project,17,3
Bad Company,17,5
Alicia Keys,17,1
Booker T. and the M.G.'s,17,3
Tina Turner,17,1
Sting,18,1
Richard Marx,16,1
Metallica,16,10
Nancy Sinatra,16,1
Pearl Jam,16,2
New Edition,16,3
Paul Simon,18,1
Peaches & Herb,16,1
Lobo,16,2
Manhattans,16,1
Little River Band,16,3
Jackson Browne,17,7
Jermaine Jackson,16,9
Jaye P. Morgan,16,6
Flo Rida,16,1
Five Stairsteps,16,8
Cheap Trick,16,1
Clarence Carter,16,4
Delfonics,16,4
Cliff Richard,16,6
The Byrds,16,1
Diamonds,16,2
Bob Seger,32,1
Black Eyed Peas,16,1
