,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,Spotify,In_Out
0,Backstreet Boys,0.0,0,0,15,37.0,0.0,16,2,3.0,3.6,13317210,0
1,Jay-Z,0.0,0,0,47,27.5,3.0,57,1,6.0,3.6,7333353,0
2,Korn,0.0,1,0,24,16.5,0.0,5,38,0.0,3.58,3950265,0
3,Bush,0.0,1,0,9,11.0,0.0,4,28,1.0,3.29,2350040,0
4,Foo Fighters,0.0,0,0,23,7.0,0.0,10,18,4.0,3.72,9593583,0
5,Weezer,0.0,1,0,47,6.5,1.0,5,10,1.0,4.0,7407342,0
6,Oasis,0.0,1,0,25,6.0,1.0,3,8,1.0,4.0,12472626,0
7,Marilyn Manson,0.0,1,0,23,4.5,0.0,0,0,5.0,3.77,3395813,0
8,Garbage,0.0,0,0,3,3.0,0.0,6,24,0.0,3.83,1522901,0
9,D'Angelo,0.0,0,0,28,2.0,1.0,6,10,0.0,4.63,1714968,0
10,Daft Punk,0.0,1,0,34,2.0,0.0,3,2,1.0,4.3,8612208,0
11,Wilco,0.0,0,0,12,0.5,1.0,0,0,0.0,4.08,1465728,0
12,The Chemical Brothers,0.0,0,0,18,0.5,0.0,1,80,0.0,3.64,2472912,0
13,Gov't Mule,0.0,0,0,2,0.0,0.0,0,0,0.0,3.86,271745,0
14,Sleater-Kinney,0.0,1,0,18,0.0,0.0,0,0,0.0,4.13,187862,0
15,Elliott Smith,0.0,1,0,35,0.0,0.0,0,0,0.0,4.25,1193382,0
