,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,Spotify,In_Out
0,Whitney Houston,0.0,11,0,35,58.5,1.0,44,1,2.0,3.34,10097654,0
1,Foreigner,0.0,17,0,10,37.5,0.0,22,1,0.0,3.33,4433917,0
2,Phil Collins,0.0,13,0,10,33.5,0.0,27,1,2.0,3.69,9088326,0
3,Willie Nelson,0.0,33,0,19,31.5,2.0,10,5,1.0,3.37,2402084,0
4,Boston,0.0,18,0,13,31.0,0.0,10,1,0.0,3.17,3549556,0
5,Ozzy Osbourne,0.0,15,0,14,27.25,0.0,5,8,4.0,3.59,3708267,0
6,Motley Crue,0.0,14,0,15,25.0,0.0,13,6,2.0,3.44,3052751,0
7,The Carpenters,0.0,26,0,10,24.5,1.0,28,1,1.0,3.23,1812527,0
8,The Doobie Brothers,0.0,24,0,10,22.0,0.0,27,1,1.0,3.32,3815088,0
9,Smashing Pumpkins,0.0,4,0,15,19.75,1.0,8,12,3.0,3.78,4916183,0
10,Sting,0.0,12,1,16,18.0,0.0,18,1,6.0,3.54,4174313,0
11,The Monkees,0.0,29,0,11,18.0,0.0,21,1,0.0,3.54,2274105,0
12,Stone Temple Pilots,0.0,2,0,6,17.5,0.0,1,78,1.0,3.63,3147186,0
13,Styx,0.0,22,0,13,17.5,0.0,23,1,0.0,3.06,1872138,0
14,Kansas,0.0,20,0,10,15.5,0.0,14,6,0.0,3.07,4444537,0
15,Bad Company,0.0,21,0,15,15.5,0.0,17,5,1.0,2.77,1549775,0
16,INXS,0.0,15,0,15,15.0,0.0,18,1,0.0,2.91,3162727,0
17,George Michael,0.0,8,0,19,15.0,1.0,18,1,1.0,3.44,7091688,0
18,Carole King,0.0,36,1,23,14.5,1.0,18,1,0.0,2.85,2125692,0
19,Pat Benatar,0.0,16,0,11,12.5,0.0,17,5,1.0,3.09,2396211,0
20,Alice In Chains,0.0,4,0,19,12.5,0.0,1,92,1.0,3.75,3221201,0
21,Cher,0.0,29,0,7,12.5,0.0,51,1,0.0,2.86,6616260,0
22,LL Cool J,0.0,10,5,14,12.5,1.0,26,3,1.0,3.23,2009491,0
23,Duran Duran,0.0,14,0,22,12.0,0.0,21,1,2.0,2.79,3943753,0
24,Barry White,0.0,22,0,13,11.0,1.0,15,1,0.0,3.3,2085449,0
25,Jethro Tull,0.0,27,0,15,11.0,1.0,7,11,1.0,2.98,1043420,0
26,Scorpions,0.0,22,0,10,10.5,0.0,6,4,0.0,3.38,5470762,0
27,Nine Inch Nails,0.0,6,2,30,10.5,1.0,8,17,3.0,3.79,2156426,0
28,Depeche Mode,0.0,14,2,120,10.5,1.0,18,8,0.0,3.93,5193773,0
29,Peter Frampton,0.0,22,0,6,10.0,0.0,8,2,3.0,3.03,1400314,0
30,Tina Turner,0.0,21,0,19,10.0,0.0,17,1,7.0,3.0,4127588,0
31,Judas Priest,0.0,21,1,48,9.5,0.0,1,67,0.0,3.45,2229360,0
32,Soundgarden,0.0,9,0,17,9.0,1.0,1,96,2.0,3.63,3951607,0
33,Rage Against the Machine,0.0,2,2,36,9.0,1.0,1,69,3.0,4.13,4945499,0
34,Ice Cube,0.0,4,0,14,8.5,0.0,9,15,1.0,3.56,4907417,0
