Artist,Year Inducted,Years Waited,# of Years Nominated
Afrika Bambaataa,,15,1
Alice In Chains,,4,0
Bad Brains,,13,1
Bad Company,,21,0
Barry White,,22,0
Bauhaus,,16,0
Ben E. King,,33,3
Big Mama Thornton,,43,0
Big Star,,23,0
Billy Ward and his Dominoes,,44,1
Bjork,,18,0
Black Flag,,17,0
Boston,,18,0
Brian Eno,,21,0
Can,,27,0
Captain Beefheart,,29,0
Carly Simon,,23,0
Carole King,,36,1
Chaka Khan,,16,2
Cher,,29,0
Chic,,18,11
Chubby Checker,,34,0
Chuck Willis,,43,6
Connie Francis,,37,0
Conway Twitty,,35,1
De La Soul,,7,0
Depeche Mode,,14,2
Dick Dale,,33,0
Duran Duran,,14,0
"Emerson, Lake & Palmer",,25,0
Eric B. & Rakim,,9,1
Esther Phillips,,44,2
Eurythmics,,14,1
Faith No More,,10,0
Foreigner,,17,0
Fugazi,,7,0
George Michael,,8,0
Gram Parsons,,28,3
Guitar Slim,,43,0
Harry Nilsson,,28,0
Husker Du,,14,0
Ice Cube,,4,0
Ice-T,,12,0
INXS,,15,0
Iron Maiden,,16,0
Jan & Dean,,35,0
Jane's Addiction,,8,1
Jethro Tull,,27,0
Jim Croce,,29,0
Joe Cocker,,25,0
Joe Tex,,29,5
John Coltrane,,39,0
Johnny Ace,,39,2
Johnny Burnette,,39,0
Joy Division,,17,0
Judas Priest,,21,1
Junior Walker & the All-Stars,,29,0
Kansas,,20,0
Kate Bush,,17,1
King Crimson,,26,0
Link Wray,,37,2
Los Lobos,,16,1
Love,,29,0
Mary Wells,,34,2
Massive Attack,,7,0
Megadeth,,10,0
Motley Crue,,14,0
Motorhead,,18,0
My Bloody Valentine,,10,0
New Order,,14,0
New York Dolls,,22,1
Nick Cave,,11,0
Nick Drake,,26,0
Nine Inch Nails,,6,2
Ozzy Osbourne,,15,0
Pantera,,12,0
Pat Benatar,,16,0
Peter Frampton,,22,0
Peter Tosh,,18,0
"Peter, Paul & Mary",,33,0
Phil Collins,,13,0
Phish,,6,0
Pixies,,8,0
Procol Harum,,28,1
Rick James,,16,0
Salt-N-Pepa,,8,0
Scorpions,,22,0
Scott Walker,,29,0
Screamin' Jay Hawkins,,37,0
Silver Apples,,27,0
Siouxsie & the Banshees,,17,0
Slayer,,12,0
Smashing Pumpkins,,4,0
Sonic Youth,,13,0
Soundgarden,,9,0
Sparks,,24,0
Steppenwolf,,27,1
Steve Winwood,,23,1
Sting,,12,1
Stone Roses,,10,0
Styx,,22,0
Suicide,,18,0
T. Rex,,27,0
Television,,20,0
The B-52's,,16,0
The Buzzcocks,,18,0
The Carpenters,,26,0
The Chantels,,36,2
The Clovers,,44,0
The Commodores,,21,0
The Dead Kennedys,,16,0
The Doobie Brothers,,24,0
The Flaming Lips,,11,0
The Go-Gos,,14,0
The Guess Who,,30,0
The J. Geils Band,,24,5
The J.B.'s,,24,1
The Jam,,18,0
The Jesus and Mary Chain,,11,0
The Marvelettes,,34,2
The Meters,,25,4
The Monkees,,29,0
The Replacements,,14,1
The Runaways,,19,0
The Shangri-Las,,29,0
The Sir Douglas Quintet,,26,1
The Smiths,,12,2
The Specials,,16,0
The Spinners,,34,3
Thin Lizzy,,24,0
Three Dog Night,,26,0
Tina Turner,,21,0
Tommy James & the Shondells,,29,0
Toots & the Maytals,,33,0
Toto,,16,0
War,,24,3
Warren Zevon,,26,0
Whitney Houston,,11,0
Willie Nelson,,33,0
X,,17,0
XTC,,18,0
Stone Temple Pilots,,2,0
Weird Al Yankovic,,15,0
A Tribe Called Quest,,4,0
Pavement,,5,0
Devo,,18,1
John Prine,,24,1
Kraftwerk,,25,5
LL Cool J,,11,5
MC5,,29,4
Rage Against the Machine,,3,2
Rufus featuring Chaka Khan,,21,3
Todd Rundgren,,25,1
Garth Brooks,,6,0
Dolly Parton,,31,0
Loretta Lynn,,31,0
Emmylou Harris,,27,0
John Mayall,,29,0
Beck,,1,0
Dave Matthews Band,,1,0
Outkast,,1,0
Blink 182,,1,0
Jeff Buckley,,1,0
Snoop Dogg,,1,0
The Roots,,1,0
Sheryl Crow,,1,0
KRS-One,,1,0
Counting Crows,,1,0
Shania Twain,,1,0
Rancid,,1,0
Lucinda Williams,,16,0
Ella Fitzgerald,,39,0
Billie Holiday,,88,0
Waylon Jennings,,31,0
Joe Jackson,,17,0
Squeeze,,17,0
The Cult,,11,0
Blue Oyster Cult,,23,0
Nas,,3,0
Badfinger,,25,0
