,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score
0,Def Leppard,0.0,13,1,20,35.5,1.0,19.0,1.0,1.0,3.68
1,Janet Jackson,0.0,11,3,26,26.0,2.0,36.0,1.0,3.0,3.23
2,LL Cool J,0.0,9,5,14,12.5,1.0,26.0,3.0,1.0,3.23
3,Stevie Nicks,0.0,12,1,17,10.5,0.0,14.0,3.0,2.0,3.57
4,Rage Against the Machine,0.0,1,2,36,9.0,1.0,1.0,69.0,3.0,4.13
5,The Cure,0.0,14,2,193,8.5,2.0,14.0,2.0,0.0,3.31
6,Radiohead,0.0,1,2,163,6.5,5.0,3.0,34.0,5.0,4.17
7,Rufus featuring Chaka Khan,0.0,19,3,8,3.5,0.0,12.0,3.0,0.0,3.38
8,Devo,0.0,15,1,26,1.5,1.0,3.0,14.0,0.0,3.06
9,Roxy Music,0.0,21,1,160,1.0,2.0,3.0,30.0,1.0,4.17
10,Todd Rundgren,0.0,23,1,18,0.5,1.0,14.0,5.0,0.0,3.25
11,John Prine,0.0,22,1,21,0.5,1.0,0.0,0.0,0.0,3.58
12,The Zombies,0.0,29,4,72,0.0,1.0,5.0,2.0,0.0,3.9
13,MC5,0.0,27,4,160,0.0,2.0,1.0,82.0,0.0,4.5
14,Kraftwerk,0.0,23,5,323,0.0,1.0,2.0,25.0,0.0,4.05
