,Artist,Year Inducted,Years Waited,of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Spotify,In_Out
0,Eminem,0,0,0,35,45.0,2.0,39,1,10.0,37005375,0
1,Taylor Swift,0,0,0,2,43.0,0.0,63,1,2.0,21574771,0
2,Adele,0,0,0,8,28.0,0.0,7,1,3.0,18457272,0
3,Rihanna,0,0,0,14,22.5,0.0,38,1,2.0,29844278,0
4,Drake,0,0,0,21,17.5,0.0,35,2,0.0,49250750,0
5,Kanye West,0,0,0,43,14.5,3.0,38,1,2.0,38982857,0
6,Coldplay,0,0,0,45,14.5,1.0,15,1,2.0,26840941,0
7,Justin Bieber,0,0,0,10,13.5,0.0,41,2,3.0,26991314,0
8,Beyonce,0,0,0,12,13.0,0.0,30,1,2.0,25342254,0
9,Maroon 5,0,0,0,5,12.5,0.0,14,1,1.0,38295819,0
10,Bruno Mars,0,0,0,9,11.0,0.0,11,1,2.0,32374113,0
11,Lil Wayne,0,0,0,27,10.5,1.0,41,1,2.0,28914305,0
12,Justin Timberlake,0,0,0,28,10.5,0.0,16,1,5.0,18876839,0
13,Ed Sheeran,0,0,0,9,10.0,0.0,2,16,1.0,38515476,0
14,Lady Gaga,0,0,0,5,8.5,0.0,0,0,2.0,25608153,0
15,Kendrick Lamar,0,0,0,10,7.5,0.0,5,17,2.0,25049809,0
16,Nicki Minaj,0,0,0,7,7.5,0.0,17,3,1.0,31614136,0
17,The Weeknd,0,0,0,8,7.0,0.0,1,53,1.0,24771994,0
18,Imagine Dragons,0,0,0,1,5.0,0.0,4,3,0.0,38776996,0
19,Ariana Grande,0,0,0,1,4.0,0.0,5,9,0.0,32914730,0
20,Twenty-One Pilots,0,0,0,0,4.0,0.0,0,0,0.0,17229601,0
21,The Chainsmokers,0,0,0,0,2.5,0.0,0,0,0.0,33194973,0
22,Cardi B,0,0,0,0,2.0,0.0,0,0,1.0,27980698,0
23,DJ Khaled,0,0,0,1,1.5,0.0,11,10,0.0,23355145,0
24,Calvin Harris,0,0,0,3,0.5,0.0,4,10,0.0,42001546,0
