,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,Spotify,In_Out
0,The Beatles,1988.0,0,1,1230.0,178.0,10.0,80,1,16.0,4.81,15022354,1
1,Elvis Presley,1986.0,0,1,273.0,146.5,3.0,158,1,7.0,3.31,7518562,1
2,The Eagles,1998.0,0,1,17.0,120.0,2.0,21,1,3.0,3.5,8989332,1
3,Led Zeppelin,1995.0,0,1,355.0,111.5,5.0,10,4,12.0,4.5,10306295,1
4,Michael Jackson,2001.0,3,1,176.0,84.0,3.0,49,1,6.0,3.65,24068900,1
5,Billy Joel,1999.0,2,2,16.0,82.5,2.0,42,1,4.0,3.54,8659894,1
6,Elton John,1994.0,0,1,22.0,78.0,5.0,68,1,5.0,3.24,11485407,1
7,Pink Floyd,1996.0,3,2,281.0,75.0,4.0,5,1,4.0,3.53,8887597,1
8,AC/DC,2003.0,2,3,121.0,72.0,2.0,7,23,1.0,3.69,13190878,1
9,Aerosmith,2001.0,2,2,24.0,66.5,2.0,30,1,6.0,3.47,9932398,1
10,The Rolling Stones,1989.0,0,1,557.0,66.5,10.0,57,1,40.0,4.11,11569086,1
11,Bruce Springsteen,1999.0,0,1,132.0,65.5,8.0,28,2,24.0,4.06,6638950,1
12,Madonna,2008.0,0,1,145.0,64.5,3.0,55,1,19.0,3.88,8839292,1
13,Metallica,2009.0,1,1,180.0,63.0,2.0,16,10,8.0,3.95,11060056,1
14,Van Halen,2007.0,3,1,19.0,56.5,1.0,23,1,6.0,3.67,6036103,1
15,Fleetwood Mac,1998.0,4,1,37.0,54.5,2.0,25,1,4.0,3.5,11415827,1
16,U2,2005.0,0,1,155.0,52.0,5.0,32,1,22.0,3.71,10072188,1
17,Neil Diamond,2011.0,22,1,14.0,49.5,1.0,55,1,1.0,3.05,3493262,1
18,Journey,2017.0,16,1,14.0,48.0,0.0,26,2,0.0,3.04,8340595,1
19,Guns N' Roses,2012.0,0,1,26.0,44.5,1.0,13,1,7.0,3.67,12811265,1
20,Bob Seger,2004.0,12,2,13.0,44.5,0.0,32,1,1.0,3.68,2459747,1
21,Santana,1998.0,3,1,13.0,43.5,2.0,26,1,4.0,3.28,5276540,1
22,Eric Clapton,2000.0,4,1,20.0,40.0,3.0,24,1,11.0,3.38,6884995,1
23,Chicago,2016.0,21,1,14.0,38.5,0.0,49,1,0.0,3.09,3884865,1
24,Simon and Garfunkel,1990.0,0,1,15.0,38.5,3.0,18,1,0.0,4.2,5872831,1
25,Rod Stewart,1994.0,4,2,11.0,38.0,1.0,51,1,5.0,2.98,4618610,1
26,Prince,2004.0,0,1,228.0,36.5,4.0,49,1,8.0,3.41,6336851,1
27,2Pac,2017.0,0,1,39.0,36.5,0.0,19,1,3.0,3.5,9669752,1
28,Bob Dylan,1988.0,0,1,669.0,36.0,11.0,23,2,24.0,3.76,5710969,1
29,Queen,2001.0,2,2,71.0,34.5,1.0,27,1,0.0,3.5,19882350,1
30,Bon Jovi,2018.0,9,2,15.0,34.5,0.0,27,1,2.0,2.93,10384269,1
31,James Taylor,2000.0,6,1,24.0,33.0,1.0,21,1,9.0,3.5,3230240,1
32,The Doors,1993.0,0,1,22.0,33.0,3.0,17,1,6.0,3.61,5496608,1
33,Pearl Jam,2017.0,0,1,18.0,31.5,2.0,16,2,6.0,4.05,6941409,1
34,Tom Petty & the Heartbreakers,2002.0,0,1,27.0,31.5,0.0,26,7,0.0,3.59,8067220,1
35,Linda Ronstadt,2014.0,19,1,15.0,30.0,1.0,34,1,5.0,3.04,1263981,1
36,Lynyrd Skynyrd,2006.0,9,7,17.0,28.5,1.0,7,8,0.0,3.21,7594842,1
37,"Crosby, Stills and Nash",1997.0,2,1,42.0,28.0,2.0,0,0,6.0,3.13,3453179,1
38,Creedence Clearwater Revival,1993.0,0,1,19.0,28.0,2.0,20,2,1.0,4.14,8675071,1
39,The Bee Gees,1997.0,6,2,17.0,28.0,0.0,43,1,3.0,3.38,6816720,1
40,John Mellencamp,2008.0,6,3,12.0,27.5,0.0,22,2,2.0,3.28,2436369,1
41,Steve Miller,2016.0,22,1,11.0,25.5,1.0,20,1,1.0,3.28,3358226,1
42,Paul McCartney,1999.0,6,1,15.0,25.5,1.0,48,1,11.0,3.52,11284706,1
43,Red Hot Chili Peppers,2012.0,2,2,23.0,25.0,2.0,13,2,10.0,3.68,16009871,1
44,Nirvana,2014.0,0,1,204.0,25.0,3.0,4,6,7.0,4.5,10940820,1
45,ZZ Top,2004.0,8,1,16.0,25.0,2.0,17,8,0.0,3.13,3519553,1
46,Rush,2013.0,14,1,15.0,25.0,0.0,8,21,1.0,3.37,2003473,1
47,Green Day,2015.0,0,1,28.0,24.0,2.0,8,2,6.0,3.82,12364505,1
48,"Earth, Wind & Fire",2000.0,4,2,21.0,23.5,0.0,0,0,0.0,3.27,8798661,1
49,Johnny Cash,1992.0,6,3,194.0,23.5,2.0,48,2,1.0,3.29,6308939,1
50,The Cars,2018.0,14,3,17.0,23.5,1.0,18,3,3.0,3.86,2896969,1
51,Beastie Boys,2012.0,4,3,51.0,23.0,0.0,7,7,3.0,4.44,3696789,1
52,The Jimi Hendrix Experience,1992.0,0,1,371.0,23.0,3.0,7,20,0.0,4.58,5254072,1
53,Heart,2013.0,11,2,12.0,22.5,0.0,30,1,2.0,3.11,3717754,1
54,The Beach Boys,1988.0,0,1,422.0,22.5,3.0,55,1,2.0,3.17,5243966,1
55,The Police,2003.0,0,1,25.0,22.0,4.0,13,1,3.0,4.1,9538221,1
56,Genesis,2010.0,16,1,17.0,21.5,0.0,22,1,0.0,3.6,2766361,1
57,KISS,2014.0,14,2,128.0,21.0,2.0,26,7,2.0,3.13,5208894,1
58,The Who,1990.0,0,1,278.0,21.0,7.0,26,9,12.0,4.17,4797197,1
59,R.E.M.,2007.0,0,1,188.0,20.0,3.0,22,4,8.0,3.67,7434796,1
60,Stevie Wonder,1989.0,1,1,246.0,19.5,4.0,63,1,2.0,3.48,9097837,1
61,Jackson Browne,2004.0,6,2,14.0,18.5,3.0,17,7,6.0,3.32,1952908,1
62,The Grateful Dead,1994.0,1,2,57.0,18.5,4.0,6,9,14.0,3.62,1552597,1
63,Janis Joplin,1995.0,0,1,18.0,17.5,3.0,8,1,6.0,4.0,3429656,1
64,Neil Young,1995.0,0,1,374.0,17.5,5.0,11,1,5.0,3.41,3510156,1
65,Bonnie Raitt,2000.0,3,1,19.0,17.0,2.0,11,5,4.0,3.71,1022762,1
66,The Isley Brothers,1992.0,6,1,16.0,15.5,0.0,41,2,0.0,3.52,2695354,1
67,Dire Straits,2018.0,14,1,19.0,15.5,1.0,7,1,2.0,3.5,7051901,1
68,Cat Stevens,2014.0,22,2,21.0,15.5,1.0,14,6,1.0,3.36,4156731,1
69,Black Sabbath,2006.0,10,8,276.0,15.0,3.0,2,52,0.0,3.5,4830949,1
70,Hall & Oates,2014.0,16,1,17.0,14.0,0.0,35,1,2.0,3.42,8204393,1
71,Paul Simon,2001.0,10,1,24.0,13.5,2.0,18,1,2.0,4.0,4796841,1
72,Yes,2017.0,22,3,18.0,13.5,0.0,10,1,0.0,3.1,1680329,1
73,The Temptations,1989.0,2,1,13.0,12.5,1.0,50,1,0.0,3.64,4784787,1
