,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score
0,The Beatles,1988,0,1,1230.0,178.0,10.0,80.0,1.0,16.0,4.81
1,Elvis Presley,1986,0,1,273.0,146.5,3.0,158.0,1.0,7.0,3.31
2,The Eagles,1998,0,1,17.0,120.0,2.0,21.0,1.0,3.0,3.5
3,Led Zeppelin,1995,0,1,355.0,111.5,5.0,10.0,4.0,12.0,4.5
4,Michael Jackson,2001,3,1,176.0,84.0,3.0,49.0,1.0,6.0,3.65
5,Billy Joel,1999,2,2,16.0,82.5,2.0,42.0,1.0,4.0,3.54
6,Elton John,1994,0,1,22.0,78.0,5.0,68.0,1.0,5.0,3.24
7,Pink Floyd,1996,3,2,281.0,75.0,4.0,5.0,1.0,4.0,3.53
8,AC/DC,2003,2,3,121.0,72.0,2.0,7.0,23.0,1.0,3.69
9,Aerosmith,2001,2,2,24.0,66.5,2.0,30.0,1.0,6.0,3.47
10,The Rolling Stones,1989,0,1,557.0,66.5,10.0,57.0,1.0,40.0,4.11
11,Bruce Springsteen,1999,0,1,132.0,65.5,8.0,28.0,2.0,24.0,4.06
12,Madonna,2008,0,1,145.0,64.5,3.0,55.0,1.0,19.0,3.88
13,Metallica,2009,1,1,180.0,63.0,2.0,16.0,10.0,8.0,3.95
14,Van Halen,2007,3,1,19.0,56.5,1.0,23.0,1.0,6.0,3.67
15,Fleetwood Mac,1998,4,1,37.0,54.5,2.0,25.0,1.0,4.0,3.5
16,U2,2005,0,1,155.0,52.0,5.0,32.0,1.0,22.0,3.71
17,Neil Diamond,2011,22,1,14.0,49.5,1.0,55.0,1.0,1.0,3.05
18,Journey,2017,16,1,14.0,48.0,,26.0,2.0,,3.04
19,Guns N' Roses,2012,0,1,26.0,44.5,1.0,13.0,1.0,7.0,3.67
20,Bob Seger,2004,12,2,13.0,44.5,,32.0,1.0,1.0,3.68
21,Santana,1998,3,1,13.0,43.5,2.0,26.0,1.0,4.0,3.28
22,Eric Clapton,2000,4,1,20.0,40.0,3.0,24.0,1.0,11.0,3.38
23,Chicago,2016,21,1,14.0,38.5,,49.0,1.0,,3.09
24,Simon and Garfunkel,1990,0,1,15.0,38.5,3.0,18.0,1.0,,4.2
25,Rod Stewart,1994,4,2,11.0,38.0,1.0,51.0,1.0,5.0,2.98
26,Prince,2004,0,1,228.0,36.5,4.0,49.0,1.0,8.0,3.41
27,2Pac,2017,0,1,39.0,36.5,,19.0,1.0,3.0,3.5
28,Bob Dylan,1988,0,1,669.0,36.0,11.0,23.0,2.0,24.0,3.76
29,Queen,2001,2,2,71.0,34.5,1.0,27.0,1.0,,3.5
30,Bon Jovi,2018,9,2,15.0,34.5,,27.0,1.0,2.0,2.93
31,James Taylor,2000,6,1,24.0,33.0,1.0,21.0,1.0,9.0,3.5
32,The Doors,1993,0,1,22.0,33.0,3.0,17.0,1.0,6.0,3.61
33,Pearl Jam,2017,0,1,18.0,31.5,2.0,16.0,2.0,6.0,4.05
34,Tom Petty & the Heartbreakers,2002,0,1,27.0,31.5,,26.0,7.0,,3.59
35,Linda Ronstadt,2014,19,1,15.0,30.0,1.0,34.0,1.0,5.0,3.04
36,Lynyrd Skynyrd,2006,9,7,17.0,28.5,1.0,7.0,8.0,,3.21
37,"Crosby, Stills and Nash",1997,2,1,42.0,28.0,2.0,13.0,7.0,6.0,3.13
38,Creedence Clearwater Revival,1993,0,1,19.0,28.0,2.0,20.0,2.0,1.0,4.14
39,The Bee Gees,1997,6,2,17.0,28.0,,43.0,1.0,3.0,3.38
40,John Mellencamp,2008,6,3,12.0,27.5,,22.0,2.0,2.0,3.28
41,Steve Miller,2016,22,1,11.0,25.5,1.0,20.0,1.0,1.0,3.28
42,Paul McCartney,1999,6,1,15.0,25.5,1.0,48.0,1.0,11.0,3.52
43,Red Hot Chili Peppers,2012,2,2,23.0,25.0,2.0,13.0,2.0,10.0,3.68
44,Nirvana,2014,0,1,204.0,25.0,3.0,4.0,6.0,7.0,4.5
45,ZZ Top,2004,8,1,16.0,25.0,2.0,17.0,8.0,,3.13
46,Rush,2013,14,1,15.0,25.0,,8.0,21.0,1.0,3.37
47,Green Day,2015,0,1,28.0,24.0,2.0,8.0,2.0,6.0,3.82
48,"Earth, Wind & Fire",2000,4,2,21.0,23.5,,33.0,1.0,,3.27
49,Johnny Cash,1992,6,3,194.0,23.5,2.0,48.0,2.0,1.0,3.29
50,The Cars,2018,14,3,17.0,23.5,1.0,18.0,3.0,3.0,3.86
51,Beastie Boys,2012,4,3,51.0,23.0,,7.0,7.0,3.0,4.44
52,The Jimi Hendrix Experience,1992,0,1,371.0,23.0,3.0,7.0,20.0,,4.58
53,Heart,2013,11,2,12.0,22.5,,30.0,1.0,2.0,3.11
54,The Beach Boys,1988,0,1,422.0,22.5,3.0,55.0,1.0,2.0,3.17
55,The Police,2003,0,1,25.0,22.0,4.0,13.0,1.0,3.0,4.1
56,Genesis,2010,16,1,17.0,21.5,,22.0,1.0,,3.6
57,KISS,2014,14,2,128.0,21.0,2.0,26.0,7.0,2.0,3.13
58,The Who,1990,0,1,278.0,21.0,7.0,26.0,9.0,12.0,4.17
59,R.E.M.,2007,0,1,188.0,20.0,3.0,22.0,4.0,8.0,3.67
60,Stevie Wonder,1989,1,1,246.0,19.5,4.0,63.0,1.0,2.0,3.48
61,Jackson Browne,2004,6,2,14.0,18.5,3.0,17.0,7.0,6.0,3.32
62,The Grateful Dead,1994,1,2,57.0,18.5,4.0,6.0,9.0,14.0,3.62
63,Janis Joplin,1995,0,1,18.0,17.5,3.0,8.0,1.0,6.0,4.0
64,Neil Young,1995,0,1,374.0,17.5,5.0,11.0,1.0,5.0,3.41
65,Bonnie Raitt,2000,3,1,19.0,17.0,2.0,11.0,5.0,4.0,3.71
66,The Isley Brothers,1992,6,1,16.0,15.5,,41.0,2.0,,3.52
67,Dire Straits,2018,14,1,19.0,15.5,1.0,7.0,1.0,2.0,3.5
68,Cat Stevens,2014,22,2,21.0,15.5,1.0,14.0,6.0,1.0,3.36
69,Black Sabbath,2006,10,8,276.0,15.0,3.0,2.0,52.0,,3.5
70,Hall & Oates,2014,16,1,17.0,14.0,,35.0,1.0,2.0,3.42
71,Paul Simon,2001,10,1,24.0,13.5,2.0,18.0,1.0,2.0,4.0
72,Yes,2017,22,3,18.0,13.5,,10.0,1.0,,3.1
73,The Temptations,1989,2,1,13.0,12.5,1.0,50.0,1.0,,3.64
74,Stevie Ray Vaughan & Double Trouble,2015,6,1,19.0,11.5,,,,,4.2
75,Steely Dan,2001,3,3,34.0,11.0,3.0,15.0,4.0,1.0,4.28
76,George Harrison,2004,10,1,17.0,10.5,1.0,17.0,1.0,5.0,3.5
77,ABBA,2010,11,2,19.0,10.5,1.0,20.0,1.0,,3.69
78,John Lennon,1994,0,1,20.0,10.5,2.0,15.0,1.0,14.0,3.23
79,Peter Gabriel,2014,11,1,20.0,10.0,1.0,11.0,1.0,1.0,3.77
80,Aretha Franklin,1987,1,2,140.0,10.0,2.0,76.0,1.0,4.0,3.14
81,Van Morrison,1993,0,1,24.0,10.0,2.0,11.0,9.0,2.0,3.71
82,The Moody Blues,2018,28,1,15.0,10.0,,21.0,2.0,,3.22
83,Electric Light Orchestra,2017,20,1,14.0,10.0,,21.0,4.0,,3.38
84,David Bowie,1996,4,2,432.0,9.5,5.0,27.0,1.0,9.0,3.56
85,Cheap Trick,2016,13,1,131.0,9.0,2.0,16.0,1.0,1.0,3.425
86,Donna Summer,2013,13,5,20.0,9.0,,33.0,1.0,1.0,3.13
87,The Allman Brothers Band,1995,0,1,23.0,8.5,1.0,11.0,2.0,2.0,3.77
88,Sly and the Family Stone,1993,0,1,,8.0,,19.0,1.0,,3.29
89,Alice Cooper,2011,16,1,20.0,8.0,1.0,21.0,7.0,2.0,3.43
90,Ray Charles,1986,0,1,153.0,7.5,3.0,75.0,1.0,2.0,3.22
91,Deep Purple,2016,22,3,120.0,7.5,,8.0,4.0,,3.45
92,The O'Jays,2005,14,2,12.0,7.0,1.0,29.0,1.0,,3.14
93,Talking Heads,2002,0,1,142.0,7.0,4.0,8.0,9.0,2.0,4.19
94,Joni Mitchell,1997,3,3,252.0,7.0,2.0,10.0,7.0,4.0,3.61
95,Marvin Gaye,1987,1,2,224.0,6.5,3.0,56.0,1.0,3.0,3.62
96,N.W.A,2016,3,4,203.0,6.5,1.0,1.0,38.0,,4.5
97,Al Green,1995,2,1,20.0,6.0,3.0,20.0,1.0,,3.41
98,Run DMC,2009,0,1,126.0,6.0,2.0,5.0,4.0,1.0,3.79
99,Parliament-Funkadelic,1997,1,2,139.0,6.0,,13.0,15.0,,4.07
100,Miles Davis,2006,20,1,342.0,5.5,3.0,,,1.0,4.02
101,The Jackson Five,1997,3,4,13.0,5.5,,33.0,1.0,,3.38
102,The Clash,2003,0,1,273.0,5.0,3.0,4.0,8.0,1.0,3.75
103,Blondie,2006,4,1,129.0,5.0,1.0,14.0,1.0,1.0,3.4
104,Public Enemy,2013,0,1,41.0,4.5,2.0,2.0,33.0,,3.85
105,Roy Orbison,1987,1,2,17.0,4.5,,31.0,1.0,1.0,3.24
106,Jeff Beck,2009,16,1,17.0,4.5,,1.0,48.0,3.0,3.59
107,Cream,1993,1,2,139.0,4.5,3.0,5.0,5.0,,3.875
108,The Pretenders,2005,0,1,21.0,4.0,1.0,10.0,5.0,3.0,3.75
109,Righteous Brothers,2003,14,1,10.0,4.0,,23.0,1.0,,3.25
110,B. B. King,1987,1,2,,4.0,,35.0,15.0,,3.23
111,Gladys Knight and the Pips,1996,10,5,15.0,4.0,,40.0,1.0,,3.12
112,Elvis Costello & the Attractions,2003,0,1,153.0,3.5,4.0,3.0,19.0,,3.85
113,Jefferson Airplane,1996,4,2,18.0,3.5,2.0,8.0,5.0,5.0,3.6
114,Otis Redding,1989,2,1,140.0,3.0,3.0,25.0,1.0,1.0,4.25
115,Isaac Hayes,2002,9,1,15.0,3.0,,14.0,1.0,,3.17
116,Joan Baez,2017,31,1,16.0,3.0,,8.0,3.0,1.0,3.54
117,The (Young) Rascals,1997,5,4,7.0,2.5,,18.0,1.0,1.0,3.56
118,The Four Seasons,1990,2,3,13.0,2.5,,42.0,1.0,,3.18
119,Joan Jett and the Blackhearts,2015,9,3,22.0,2.5,,10.0,1.0,,3.29
120,The Mamas and the Papas,1998,6,2,12.0,2.5,1.0,16.0,1.0,1.0,3.5
121,The Kinks,1990,0,1,384.0,2.0,3.0,23.0,6.0,,3.29
122,James Brown,1986,0,1,299.0,2.0,3.0,53.0,4.0,3.0,2.92
123,The Band,1994,0,1,145.0,2.0,2.0,1.0,66.0,2.0,3.45
124,Bill Withers,2015,18,1,24.0,1.5,,11.0,1.0,,3.61
125,Curtis Mayfield,1999,3,1,121.0,1.5,1.0,9.0,4.0,,3.22
126,The Supremes,1988,2,3,11.0,1.5,1.0,45.0,1.0,2.0,3.34
127,Leonard Cohen,2008,15,1,164.0,1.5,1.0,,,,4.04
128,The Ventures,2008,22,1,15.0,1.5,,14.0,2.0,,3.02
