,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score
0,Whitney Houston,,10,0,35,58.5,1.0,44.0,1.0,2.0,3.34
1,Foreigner,,16,0,10,37.5,,22.0,1.0,,3.33
2,Phil Collins,,12,0,10,33.5,,27.0,1.0,2.0,3.69
3,Willie Nelson,,32,0,19,31.5,2.0,10.0,5.0,1.0,3.37
4,Boston,,17,0,13,31.0,,10.0,1.0,,3.17
5,Ozzy Osbourne,,14,0,14,27.25,,5.0,8.0,4.0,3.59
6,Motley Crue,,13,0,15,25.0,,13.0,6.0,2.0,3.44
7,The Carpenters,,25,0,10,24.5,1.0,28.0,1.0,1.0,3.23
8,The Doobie Brothers,,23,0,10,22.0,,27.0,1.0,1.0,3.32
9,Smashing Pumpkins,,3,0,15,19.75,1.0,8.0,12.0,3.0,3.78
10,Sting,,11,1,16,18.0,,18.0,1.0,6.0,3.54
11,The Monkees,,28,0,11,18.0,,21.0,1.0,,3.54
12,Styx,,21,0,13,17.5,,23.0,1.0,,3.06
13,Stone Temple Pilots,,1,0,6,17.5,,1.0,78.0,1.0,3.63
14,Bad Company,,20,0,15,15.5,,17.0,5.0,1.0,2.77
15,Kansas,,19,0,10,15.5,,14.0,6.0,,3.07
16,George Michael,,7,0,19,15.0,1.0,18.0,1.0,1.0,3.44
17,INXS,,14,0,15,15.0,,18.0,1.0,,2.91
18,Carole King,,35,1,23,14.5,1.0,18.0,1.0,,2.85
19,Alice In Chains,,3,0,19,12.5,,1.0,92.0,1.0,3.75
20,Cher,,28,0,7,12.5,,51.0,1.0,,2.86
21,Pat Benatar,,15,0,11,12.5,,17.0,5.0,1.0,3.09
22,Duran Duran,,13,0,22,12.0,,21.0,1.0,2.0,2.79
23,Jethro Tull,,26,0,15,11.0,1.0,7.0,11.0,1.0,2.98
24,Barry White,,21,0,13,11.0,1.0,15.0,1.0,,3.3
25,Scorpions,,21,0,10,10.5,,6.0,4.0,,3.38
26,Nine Inch Nails,,5,2,30,10.5,1.0,8.0,17.0,3.0,3.79
27,Depeche Mode,,13,2,120,10.5,1.0,18.0,8.0,,3.93
28,Peter Frampton,,21,0,6,10.0,,8.0,2.0,3.0,3.03
29,Tina Turner,,20,0,19,10.0,,17.0,1.0,7.0,3.0
30,Judas Priest,,20,1,48,9.5,,1.0,67.0,,3.45
31,Soundgarden,,8,0,17,9.0,1.0,1.0,96.0,2.0,3.63
32,Carly Simon,,22,0,14,8.5,,23.0,1.0,5.0,3.12
33,Ice Cube,,3,0,14,8.5,,9.0,15.0,1.0,3.56
34,Salt-N-Pepa,,7,0,11,8.0,,11.0,3.0,1.0,3.4
35,Weird Al Yankovic,,14,0,10,8.0,,10.0,9.0,,3.25
36,"Peter, Paul & Mary",,32,0,7,8.0,,19.0,1.0,,3.2
37,Three Dog Night,,25,0,3,8.0,,21.0,1.0,1.0,3.43
38,Toto,,15,0,10,7.5,,14.0,1.0,,2.88
39,Steve Winwood,,22,1,16,7.5,,15.0,1.0,2.0,3.5
40,Pantera,,11,0,23,7.0,,,,,3.28
41,Iron Maiden,,15,0,42,6.5,,,,,3.59
42,Megadeth,,9,0,15,6.5,,1.0,71.0,,3.31
43,The B-52's,,15,0,12,6.5,1.0,8.0,3.0,1.0,3.71
44,Eurythmics,,13,1,16,6.5,1.0,15.0,1.0,1.0,3.22
45,Phish,,5,0,9,5.5,,,,2.0,3.58
46,Conway Twitty,,34,1,19,5.5,,20.0,1.0,,2.88
47,War,,23,3,13,5.5,1.0,16.0,2.0,,2.84
48,The Commodores,,20,0,11,5.0,,25.0,1.0,,3.11
49,"Emerson, Lake & Palmer",,24,0,15,4.5,,5.0,39.0,,3.18
50,Steppenwolf,,26,1,14,4.5,,13.0,2.0,,2.82
51,Jane's Addiction,,7,1,21,4.0,1.0,1.0,72.0,2.0,3.8
52,The J. Geils Band,,23,5,9,3.5,,17.0,1.0,2.0,3.71
53,Ice-T,,11,0,13,3.5,,2.0,67.0,1.0,3.25
54,Chaka Khan,,15,2,25,2.5,,11.0,3.0,,3.46
55,Jim Croce,,28,0,5,2.5,,10.0,1.0,,3.0
56,The Go-Gos,,13,0,10,2.5,,7.0,2.0,,3.25
57,Bjork,,17,0,123,2.5,1.0,2.0,84.0,,3.9
58,Chic,,17,11,25,2.5,,10.0,1.0,,3.25
59,Rick James,,15,0,16,2.5,,11.0,13.0,,3.33
60,The Spinners,,33,3,14,2.5,,29.0,1.0,,3.06
61,New Order,,13,0,182,2.0,1.0,6.0,28.0,,3.89
62,Los Lobos,,15,1,7,2.0,1.0,3.0,1.0,,3.68
63,Eric B. & Rakim,,8,1,17,2.0,1.0,1.0,96.0,,4.25
64,John Coltrane,,38,0,315,2.0,2.0,,,,4.25
65,Slayer,,11,0,134,2.0,,,,,3.43
66,De La Soul,,6,0,26,1.5,1.0,4.0,14.0,1.0,3.69
67,Faith No More,,9,0,23,1.5,,3.0,9.0,,3.93
68,Joe Cocker,,24,0,7,1.5,,21.0,5.0,2.0,2.96
69,Peter Tosh,,17,0,15,1.5,,2.0,81.0,,3.5
70,Warren Zevon,,25,0,10,1.5,,2.0,21.0,1.0,3.61
71,The Smiths,,11,2,193,1.5,4.0,,,,4.25
72,The Guess Who,,29,0,7,1.15,,21.0,1.0,,2.59
73,Pixies,,7,0,179,1.0,2.0,,,,4.14
74,Harry Nilsson,,27,0,21,1.0,,10.0,1.0,,3.66
75,Connie Francis,,36,0,4,0.5,,56.0,1.0,,3.35
76,Procol Harum,,27,1,10,0.5,,3.0,5.0,,3.5
77,Thin Lizzy,,23,0,11,0.5,,2.0,12.0,,3.69
78,The Dead Kennedys,,15,0,14,0.5,,,,,3.8
79,Kate Bush,,16,1,23,0.5,,4.0,30.0,,3.65
80,King Crimson,,25,0,59,0.5,,1.0,80.0,,3.79
81,The Flaming Lips,,10,0,51,0.5,,1.0,55.0,,3.79
82,Can,,26,0,192,0.0,,,,,3.5
83,Nick Drake,,25,0,190,0.0,1.0,,,,4.5
84,My Bloody Valentine,,9,0,253,0.0,1.0,,,,3.88
85,Massive Attack,,6,0,25,0.0,1.0,,,,4.0
86,Sonic Youth,,12,0,282,0.0,1.0,,,,3.68
87,Big Star,,22,0,189,0.0,3.0,,,,4.2
88,Joy Division,,16,0,187,0.0,1.0,,,,3.8
89,The Buzzcocks,,17,0,48,0.0,1.0,,,,3.5
90,Suicide,,17,0,27,0.0,1.0,,,,3.4
91,Nick Cave,,10,0,25,0.0,,,,,4.0
92,Black Flag,,16,0,161,0.0,1.0,,,,3.29
93,XTC,,17,0,48,0.0,,1.0,72.0,,3.83
94,T. Rex,,26,0,149,0.0,1.0,4.0,10.0,,3.73
95,The Replacements,,13,1,137,0.0,2.0,1.0,51.0,,4.29
96,Gram Parsons,,27,3,131,0.0,1.0,,,,4.58
97,Stone Roses,,9,0,41,0.0,1.0,,,,4.0
98,Captain Beefheart,,28,0,127,0.0,1.0,,,1.0,3.96
99,The Jam,,17,0,44,0.0,,,,,4.25
100,Fugazi,,6,0,60,0.0,,,,,4.1
101,New York Dolls,,21,1,47,0.0,1.0,,,,4.38
