,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,In_Out
0,The Beatles,1988.0,0,1,1230.0,178.0,10.0,80.0,1.0,16.0,4.81,1
1,Elvis Presley,1986.0,0,1,273.0,146.5,3.0,158.0,1.0,7.0,3.31,1
2,The Eagles,1998.0,0,1,17.0,120.0,2.0,21.0,1.0,3.0,3.5,1
3,Led Zeppelin,1995.0,0,1,355.0,111.5,5.0,10.0,4.0,12.0,4.5,1
4,Michael Jackson,2001.0,3,1,176.0,84.0,3.0,49.0,1.0,6.0,3.65,1
5,Billy Joel,1999.0,2,2,16.0,82.5,2.0,42.0,1.0,4.0,3.54,1
6,Elton John,1994.0,0,1,22.0,78.0,5.0,68.0,1.0,5.0,3.24,1
7,Pink Floyd,1996.0,3,2,281.0,75.0,4.0,5.0,1.0,4.0,3.53,1
8,AC/DC,2003.0,2,3,121.0,72.0,2.0,7.0,23.0,1.0,3.69,1
9,Aerosmith,2001.0,2,2,24.0,66.5,2.0,30.0,1.0,6.0,3.47,1
10,The Rolling Stones,1989.0,0,1,557.0,66.5,10.0,57.0,1.0,40.0,4.11,1
11,Bruce Springsteen,1999.0,0,1,132.0,65.5,8.0,28.0,2.0,24.0,4.06,1
12,Madonna,2008.0,0,1,145.0,64.5,3.0,55.0,1.0,19.0,3.88,1
13,Metallica,2009.0,1,1,180.0,63.0,2.0,16.0,10.0,8.0,3.95,1
14,Van Halen,2007.0,3,1,19.0,56.5,1.0,23.0,1.0,6.0,3.67,1
15,Fleetwood Mac,1998.0,4,1,37.0,54.5,2.0,25.0,1.0,4.0,3.5,1
16,U2,2005.0,0,1,155.0,52.0,5.0,32.0,1.0,22.0,3.71,1
17,Neil Diamond,2011.0,22,1,14.0,49.5,1.0,55.0,1.0,1.0,3.05,1
18,Journey,2017.0,16,1,14.0,48.0,0.0,26.0,2.0,0.0,3.04,1
19,Bob Seger,2004.0,12,2,13.0,44.5,0.0,32.0,1.0,1.0,3.68,1
20,Guns N' Roses,2012.0,0,1,26.0,44.5,1.0,13.0,1.0,7.0,3.67,1
21,Santana,1998.0,3,1,13.0,43.5,2.0,26.0,1.0,4.0,3.28,1
22,Eric Clapton,2000.0,4,1,20.0,40.0,3.0,24.0,1.0,11.0,3.38,1
23,Simon and Garfunkel,1990.0,0,1,15.0,38.5,3.0,18.0,1.0,0.0,4.2,1
24,Chicago,2016.0,21,1,14.0,38.5,0.0,49.0,1.0,0.0,3.09,1
25,Rod Stewart,1994.0,4,2,11.0,38.0,1.0,51.0,1.0,5.0,2.98,1
26,2Pac,2017.0,0,1,39.0,36.5,0.0,19.0,1.0,3.0,3.5,1
27,Prince,2004.0,0,1,228.0,36.5,4.0,49.0,1.0,8.0,3.41,1
28,Bob Dylan,1988.0,0,1,669.0,36.0,11.0,23.0,2.0,24.0,3.76,1
29,Bon Jovi,2018.0,9,2,15.0,34.5,0.0,27.0,1.0,2.0,2.93,1
30,Queen,2001.0,2,2,71.0,34.5,1.0,27.0,1.0,0.0,3.5,1
31,James Taylor,2000.0,6,1,24.0,33.0,1.0,21.0,1.0,9.0,3.5,1
32,The Doors,1993.0,0,1,22.0,33.0,3.0,17.0,1.0,6.0,3.61,1
33,Pearl Jam,2017.0,0,1,18.0,31.5,2.0,16.0,2.0,6.0,4.05,1
34,Tom Petty & the Heartbreakers,2002.0,0,1,27.0,31.5,0.0,26.0,7.0,0.0,3.59,1
35,Linda Ronstadt,2014.0,19,1,15.0,30.0,1.0,34.0,1.0,5.0,3.04,1
36,Lynyrd Skynyrd,2006.0,9,7,17.0,28.5,1.0,7.0,8.0,0.0,3.21,1
37,"Crosby, Stills and Nash",1997.0,2,1,42.0,28.0,2.0,13.0,7.0,6.0,3.13,1
38,Creedence Clearwater Revival,1993.0,0,1,19.0,28.0,2.0,20.0,2.0,1.0,4.14,1
39,The Bee Gees,1997.0,6,2,17.0,28.0,0.0,43.0,1.0,3.0,3.38,1
40,John Mellencamp,2008.0,6,3,12.0,27.5,0.0,22.0,2.0,2.0,3.28,1
41,Paul McCartney,1999.0,6,1,15.0,25.5,1.0,48.0,1.0,11.0,3.52,1
42,Steve Miller,2016.0,22,1,11.0,25.5,1.0,20.0,1.0,1.0,3.28,1
43,ZZ Top,2004.0,8,1,16.0,25.0,2.0,17.0,8.0,0.0,3.13,1
44,Red Hot Chili Peppers,2012.0,2,2,23.0,25.0,2.0,13.0,2.0,10.0,3.68,1
45,Rush,2013.0,14,1,15.0,25.0,0.0,8.0,21.0,1.0,3.37,1
46,Nirvana,2014.0,0,1,204.0,25.0,3.0,4.0,6.0,7.0,4.5,1
47,Green Day,2015.0,0,1,28.0,24.0,2.0,8.0,2.0,6.0,3.82,1
48,Johnny Cash,1992.0,6,3,194.0,23.5,2.0,48.0,2.0,1.0,3.29,1
49,"Earth, Wind & Fire",2000.0,4,2,21.0,23.5,0.0,33.0,1.0,0.0,3.27,1
50,The Cars,2018.0,14,3,17.0,23.5,1.0,18.0,3.0,3.0,3.86,1
51,The Jimi Hendrix Experience,1992.0,0,1,371.0,23.0,3.0,7.0,20.0,0.0,4.58,1
52,Beastie Boys,2012.0,4,3,51.0,23.0,0.0,7.0,7.0,3.0,4.44,1
53,Heart,2013.0,11,2,12.0,22.5,0.0,30.0,1.0,2.0,3.11,1
54,The Beach Boys,1988.0,0,1,422.0,22.5,3.0,55.0,1.0,2.0,3.17,1
55,The Police,2003.0,0,1,25.0,22.0,4.0,13.0,1.0,3.0,4.1,1
56,Genesis,2010.0,16,1,17.0,21.5,0.0,22.0,1.0,0.0,3.6,1
57,KISS,2014.0,14,2,128.0,21.0,2.0,26.0,7.0,2.0,3.13,1
58,The Who,1990.0,0,1,278.0,21.0,7.0,26.0,9.0,12.0,4.17,1
59,R.E.M.,2007.0,0,1,188.0,20.0,3.0,22.0,4.0,8.0,3.67,1
