Artist,Spotify
The Beatles,15022354
Elvis Presley,7518562
The Eagles,8989332
Led Zeppelin,10306295
Michael Jackson,24068900
Billy Joel,8659894
Elton John,11485407
Pink Floyd,8887597
AC/DC,13190878
Aerosmith,9932398
The Rolling Stones,11569086
Bruce Springsteen,6638950
Madonna,8839292
Metallica,11060056
Van Halen,6036103
Fleetwood Mac,11415827
U2,10072188
Neil Diamond,3493262
Journey,8340595
Bob Seger,2459747
Guns N' Roses,12811265
Santana,5276540
Eric Clapton,6884995
Simon and Garfunkel,5872831
Chicago,3884865
Rod Stewart,4618610
2Pac,9669752
Prince,6336851
Bob Dylan,5710969
Bon Jovi,10384269
Queen,19882350
James Taylor,3230240
The Doors,5496608
Pearl Jam,6941409
Tom Petty & the Heartbreakers,8067220
Linda Ronstadt,1263981
Lynyrd Skynyrd,7594842
"Crosby, Stills and Nash",3453179
Creedence Clearwater Revival,8675071
The Bee Gees,6816720
John Mellencamp,2436369
Paul McCartney,11284706
Steve Miller,3358226
ZZ Top,3519553
Red Hot Chili Peppers,16009871
Rush,2003473
Nirvana,10940820
Green Day,12364505
Johnny Cash,6308939
"Earth, Wind & Fire",8798661
The Cars,2896969
The Jimi Hendrix Experience,5254072
Beastie Boys,3696789
Heart,3717754
The Beach Boys,5243966
The Police,9538221
Genesis,2766361
KISS,5208894
The Who,4797197
R.E.M.,7434796
Stevie Wonder,9097837
The Grateful Dead,1552597
Jackson Browne,1952908
Janis Joplin,3429656
Neil Young,3510156
Bonnie Raitt,1022762
The Isley Brothers,2695354
Dire Straits,7051901
Cat Stevens,4156731
Black Sabbath,4830949
Hall & Oates,8204393
Yes,1680329
Paul Simon,4796841
The Temptations,4784787
Stevie Ray Vaughan & Double Trouble,1367522
Steely Dan,2622163
ABBA,7656489
John Lennon,4563382
George Harrison,4439627
Peter Gabriel,2030462
Aretha Franklin,6876800
Van Morrison,6401383
Electric Light Orchestra,5749489
The Moody Blues,1324878
David Bowie,9388723
Cheap Trick,2500303
Donna Summer,2072580
The Allman Brothers Band,2365797
Alice Cooper,2364538
Sly and the Family Stone,1854502
Deep Purple,3644184
Ray Charles,2966157
Joni Mitchell,1750423
Talking Heads,3583976
The O'Jays,1632650
N.W.A,3222432
Marvin Gaye,8846146
Al Green,3109495
Run DMC,2467123
Parliament-Funkadelic,1611392
The Jackson Five,7730167
Miles Davis,1692038
The Clash,6489927
Blondie,3833851
Public Enemy,1160416
Jeff Beck,562141
Roy Orbison,3195045
Cream,2598263
Righteous Brothers,1757256
The Pretenders,2307432
B. B. King,1606032
Gladys Knight and the Pips,1758612
Jefferson Airplane,1849810
Elvis Costello & the Attractions,1703855
Joan Baez,446337
Isaac Hayes,814691
Otis Redding,3875755
The Mamas and the Papas,2792678
The Four Seasons,2398543
The (Young) Rascals,512522
Joan Jett and the Blackhearts,1355473
The Kinks,3866048
James Brown,4224923
The Band,1945881
The Supremes,3325730
Bill Withers,4623121
Curtis Mayfield,1565263
Leonard Cohen,2009538
Donovan,1240883
The Ventures,191860
Lou Reed,2480329
Buddy Holly,1195613
Smokey Robinson,2307612
The Dave Clark Five,18372
The Platters,1242818
Buffalo Springfield,1945990
The Byrds,1373530
Sex Pistols,868298
Ramones,2286211
The Small Faces/The Faces,1880534
Randy Newman,1513148
Martha and the Vandellas,1905655
"Bobby ""Blue"" Bland",399171
Ricky Nelson,597044
Lovin' Spoonful,954903
The Everly Brothers,1211174
Buddy Guy,564285
Chuck Berry,2806190
The Animals,3802205
Ike and Tina Turner,894156
Frank Zappa,628881
The Four Tops,2582240
The Hollies,1985265
The Stooges,655922
Muddy Waters,669735
The Velvet Underground,1800648
Del Shannon,425310
The Yardbirds,826084
Darlene Love,230499
Nina Simone,3536005
Dusty Springfield,2409782
Percy Sledge,1112511
The Drifters,1371231
Ritchie Valens,996697
Jimmy Cliff,1534879
Sam & Dave,1508788
The Paul Butterfield Blues Band,59087
The Staple Singers,1105151
Gene Pitney,166221
Little Willie John,57855
Brenda Lee,862107
Albert King,328577
The Shirelles,894498
LaVern Baker,178226
Duane Eddy,161195
Grandmaster Flash & the Furious Five,763943
Hank Ballard,41103
Little Anthony & the Imperials,186750
The Coasters,5941
Lloyd Price,207132
The Moonglows,52124
The Flamingos,211618
Bobby Darin,1301176
Clyde McPhatter,63042
Carl Perkins,205680
The Ronettes,1409643
Patti Smith,1185250
Jerry Lee Lewis,939109
Little Richard,1164440
Bobby Womack,1004208
Frankie Lymon and the Teenagers,579417
Fats Domino,747691
Dr. John,787722
Bo Diddley,343590
Jackie Wilson,2028509
Wilson Pickett,1448257
Solomon Burke,885143
Big Joe Turner,154199
The Dells,152382
Jimmy Reed,199239
Ruth Brown,83236
Gene Vincent,345549
The Impressions,469329
Bill Haley,633872
Laura Nyro,50300
